title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
"종근당건강 프로메가 오메가3 트리플 654mg x 60캡슐, 2개",https://search.shopping.naver.com/catalog/51929227006,https://shopping-phinf.pstatic.net/main_5192922/51929227006.20241213205552.jpg,20240,,네이버,51929227006,1,종근당건강,서흥,식품,건강식품,영양제,오메가3
"닥터린 하이퍼셀 알티지 오메가3 1202mg x 30캡슐, 1개",https://search.shopping.naver.com/catalog/51929287799,https://shopping-phinf.pstatic.net/main_5192928/51929287799.20241213210751.jpg,10790,,네이버,51929287799,1,닥터린,노바렉스,식품,건강식품,영양제,오메가3
"GNM자연의품격 rTG 알티지 오메가3 837mg x 60캡슐, 5개",https://search.shopping.naver.com/catalog/51929497061,https://shopping-phinf.pstatic.net/main_5192949/51929497061.20241213220649.jpg,54300,,네이버,51929497061,1,GNM자연의품격,코스맥스바이오,식품,건강식품,영양제,오메가3
"[5개월] 닥터린 초임계 알티지(rTG) 오메가3 30캡슐, 5개",https://smartstore.naver.com/main/products/6449191179,https://shopping-phinf.pstatic.net/main_8399369/83993691512.16.jpg,49500,,닥터린 공식스토어,83993691512,3,닥터린,노바렉스,식품,건강식품,영양제,오메가3
"헤라클레스 오메가3 이지 60캡슐, 1개",https://smartstore.naver.com/main/products/12926048428,https://shopping-phinf.pstatic.net/main_9047055/90470559420.1.jpg,19800,,HERACLES,90470559420,2,헤라클레스,콜마비앤에이치,식품,건강식품,영양제,오메가3
"뉴트리코어 식물성 알티지 오메가3 1126mg x 30캡슐, 1개",https://search.shopping.naver.com/catalog/51929251098,https://shopping-phinf.pstatic.net/main_5192925/51929251098.20250228173056.jpg,43990,,네이버,51929251098,1,뉴트리코어,노바렉스,식품,건강식품,영양제,오메가3
"트루엔 알티지오메가3 1255mg x 100캡슐, 1개",https://search.shopping.naver.com/catalog/51929351930,https://shopping-phinf.pstatic.net/main_5192935/51929351930.20241213211848.jpg,60330,,네이버,51929351930,1,트루엔,알피바이오,식품,건강식품,영양제,오메가3
"키즈텐 키즈 알티지 오메가3 구미 3중기능성 1.9g x 30구미, 4개",https://search.shopping.naver.com/catalog/54046592438,https://shopping-phinf.pstatic.net/main_5404659/54046592438.20250408151127.jpg,84750,,네이버,54046592438,1,키즈텐,알피바이오,식품,건강식품,영양제,오메가3
종근당 프로메가 알티지오메가3 비타민D 3박스 3개월분,https://smartstore.naver.com/main/products/7524795209,https://shopping-phinf.pstatic.net/main_8506929/85069295531.6.jpg,21500,,제트큐브,85069295531,2,프로메가,종근당건강,식품,건강식품,영양제,오메가3
"블랙모어스 에이플러스 알티지 오메가3 1024mg x 90캡슐, 1개",https://search.shopping.naver.com/catalog/51929228688,https://shopping-phinf.pstatic.net/main_5192922/51929228688.20241213205224.jpg,19810,,네이버,51929228688,1,블랙모어스,,식품,건강식품,영양제,오메가3
